TC1 NUMBER BIN HEX
134 8386350 11111111111011100101110 F72E
135 8637147 100000111100101011011011 CADB
136 936705 11100100101100000001 4B01
137 6602175 11001001011110110111111 BDBF
138 1429181 101011100111010111101 CEBD
139 8395138 100000000001100110000010 1982
140 6132809 10111011001010001001001 9449
141 5936917 10110101001011100010101 9715
142 2878578 1010111110110001110010 EC72
143 158885 100110110010100101 6CA5
144 2441957 1001010100001011100101 42E5
145 5914794 10110100100000010101010 40AA
146 3999272 1111010000011000101000 628
147 3142897 1011111111010011110001 F4F1
148 8151159 11111000110000001110111 6077
149 5147564 10011101000101110101100 8BAC
150 4595374 10001100001111010101110 1EAE
151 4234951 10000001001111011000111 9EC7
152 7880605 11110000011111110011101 3F9D
153 7009921 11010101111011010000001 F681
154 695580 10101001110100011100 9D1C
155 7370443 11100000111011011001011 76CB
156 7921729 11110001110000001000001 E041
157 8419625 100000000111100100101001 7929
158 7024080 11010110010110111010000 2DD0
159 3905988 1110111001100111000100 99C4
160 1767599 110101111100010101111 F8AF
161 935136 11100100010011100000 44E0
162 635788 10011011001110001100 B38C
163 8807719 100001100110010100100111 6527
164 317375 1001101011110111111 D7BF
165 9975410 100110000011011001110010 3672
166 2727968 1010011010000000100000 A020
167 7444399 11100011001011110101111 97AF
168 4065675 1111100000100110001011 98B
169 9925720 100101110111010001011000 7458
170 2293633 1000101111111110000001 FF81
171 7734826 11101100000011000101010 62A
172 1065463 100000100000111110111 41F7
173 1105617 100001101111011010001 DED1
174 5325800 10100010100001111101000 43E8
175 3822527 1110100101001110111111 53BF
176 5503858 10100111111101101110010 FB72
177 9214055 100011001001100001100111 9867
178 6521769 11000111000001110101001 83A9
179 7923796 11110001110100001010100 E854
180 5250236 10100000001110010111100 1CBC
181 1083154 100001000011100010010 8712
182 472141 1110011010001001101 344D
183 9597454 100100100111001000001110 720E
184 1581679 110000010001001101111 226F
185 656751 10100000010101101111 56F
186 345464 1010100010101111000 4578
187 4281218 10000010101001110000010 5382
188 6558883 11001000001010010100011 14A3
189 3852986 1110101100101010111010 CABA
190 6263187 10111111001000110010011 9193
191 5828308 10110001110111011010100 EED4
192 8058535 11110101111011010100111 F6A7
193 9035191 100010011101110110110111 DDB7
194 7922103 11110001110000110110111 E1B7
195 9366003 100011101110100111110011 E9F3
196 4555717 10001011000001111000101 83C5
197 3526753 1101011101000001100001 D061
198 3176815 1100000111100101101111 796F
199 858440 11010001100101001000 1948
200 2250854 1000100101100001100110 5866

execution time: 0.0027832984924316406s

TC2 NUMBER BIN HEX
1 7116776 11011001001011111101000 97E8
2 1666340 110010110110100100100 6D24
3 8886983 100001111001101011000111 9AC7
4 839365 11001100111011000101 CEC5
5 924280 11100001101001111000 1A78
6 1026310 11111010100100000110 A906
7 1615293 110001010010110111101 A5BD
8 1063875 100000011101111000011 3BC3
9 679035 10100101110001111011 5C7B
10 5201970 10011110110000000110010 6032
11 593979 10010001000000111011 103B
12 801371 11000011101001011011 3A5B
13 3796878 1110011110111110001110 EF8E
14 7489201 11100100100011010110001 46B1
15 9740020 100101001001111011110100 9EF4
16 9128737 100010110100101100100001 4B21
17 5473463 10100111000010010110111 84B7
18 8701957 100001001100100000000101 C805
19 8238050 11111011011001111100010 B3E2
20 8679038 100001000110111001111110 6E7E
21 385912 1011110001101111000 E378
22 5867340 10110011000011101001100 874C
23 4894542 10010101010111101001110 AF4E
24 8999451 100010010101001000011011 521B
25 4392535 10000110000011001010111 657
26 2078131 111111011010110110011 B5B3
27 3070124 1011101101100010101100 D8AC
28 7451998 11100011011010101011110 B55E
29 5635510 10101011111110110110110 FDB6
30 1233932 100101101010000001100 D40C
31 6089867 10111001110110010001011 EC8B
32 1792316 110110101100100111100 593C
33 6298637 11000000001110000001101 1C0D
34 2408038 1001001011111001100110 BE66
35 8510100 100000011101101010010100 DA94
36 991581 11110010000101011101 215D
37 6455739 11000101000000110111011 81BB
38 7829175 11101110111011010110111 76B7
39 6328931 11000001001001001100011 9263
40 9982305 100110000101000101100001 5161
41 2292022 1000101111100100110110 F936
42 1070496 100000101010110100000 55A0
43 8518360 100000011111101011011000 FAD8
44 6378470 11000010101001111100110 53E6
45 7756258 11101100101100111100010 59E2
46 7111767 11011001000010001010111 8457
47 2685897 1010001111101111001001 FBC9
48 617946 10010110110111011010 6DDA
49 246280 111100001000001000 C208
50 6075442 10111001011010000110010 B432
51 991323 11110010000001011011 205B
52 6754202 11001110000111110011010 F9A
53 3103178 1011110101100111001010 59CA
54 3228842 1100010100010010101010 44AA
55 6786623 11001111000111000111111 8E3F
56 5329085 10100010101000010111101 50BD
57 2334647 1000111001111110110111 9FB7
58 7253396 11011101010110110010100 AD94
59 6516953 11000110111000011011001 70D9
60 5972725 10110110010001011110101 22F5
61 5828037 10110001110110111000101 EDC5
62 6642265 11001010101101001011001 5A59
63 2559699 1001110000111011010011 ED3
64 6597631 11001001010101111111111 ABFF
65 5826202 10110001110011010011010 E69A
66 4642335 10001101101011000011111 D61F
67 1862900 111000110110011110100 6CF4
68 6039635 10111000010100001010011 2853
69 3358744 1100110100000000011000 4018
70 4965249 10010111100001110000001 C381
71 6621475 11001010000100100100011 923
72 3336153 1100101110011111011001 E7D9
73 1044743 11111111000100000111 F107
74 6201477 10111101010000010000101 A085
75 6297100 11000000001011000001100 160C
76 885678 11011000001110101110 83AE
77 8546891 100000100110101001001011 6A4B
78 6683923 11001011111110100010011 FD13
79 7064472 11010111100101110011000 CB98
80 3430021 1101000101011010000101 5685
81 9764122 100101001111110100011010 FD1A
82 9958605 100101111111010011001101 F4CD
83 1006022 11110101100111000110 59C6
84 5276496 10100001000001101010000 8350
85 8876232 100001110111000011001000 70C8
86 3364648 1100110101011100101000 5728
87 3539979 1101100000010000001011 40B
88 3003857 1011011101010111010001 D5D1
89 4481634 10001000110001001100010 6262
90 9035781 100010011110000000000101 E005
91 3767021 1110010111101011101101 7AED
92 4993901 10011000011001101101101 336D
93 8698377 100001001011101000001001 BA09
94 4626501 10001101001100001000101 9845
95 1755352 110101100100011011000 C8D8
96 2755340 1010100000101100001100 B0C
97 5150616 10011101001011110011000 9798
98 9345169 100011101001100010010001 9891
99 848948 11001111010000110100 F434
100 2708748 1010010101010100001100 550C
101 8372451 11111111100000011100011 C0E3
102 3523015 1101011100000111000111 C1C7
103 2624283 1010000000101100011011 B1B
104 8795348 100001100011010011010100 34D4
105 2318100 1000110101111100010100 5F14
106 4750861 10010000111111000001101 7E0D
107 3770597 1110011000100011100101 88E5
108 1053352 100000001001010101000 12A8
109 833307 11001011011100011011 B71B
110 4632526 10001101010111111001110 AFCE
111 2212917 1000011100010000110101 C435
112 5053189 10011010001101100000101 1B05
113 412218 1100100101000111010 4A3A
114 4901564 10010101100101010111100 CABC
115 5094606 10011011011110011001110 BCCE
116 8070285 11110110010010010001101 248D
117 6847905 11010000111110110100001 7DA1
118 4311824 10000011100101100010000 CB10
119 3009421 1011011110101110001101 EB8D
120 1629105 110001101101110110001 DBB1
121 8431899 100000001010100100011011 A91B
122 7582456 11100111011001011111000 B2F8
123 7332147 11011111110000100110011 E133
124 314183 1001100101101000111 CB47
125 7632568 11101000111011010111000 76B8
126 8161327 11111001000100000101111 882F
127 6961087 11010100011011110111111 37BF
128 6898282 11010010100001001101010 426A
129 9749303 100101001100001100110111 C337
130 4427419 10000111000111010011011 8E9B
131 4368829 10000101010100110111101 A9BD
132 6439318 11000100100000110010110 4196
133 6473603 11000101100011110000011 C783
134 6446249 11000100101110010101001 5CA9
135 9818836 100101011101001011010100 D2D4
136 9438069 100100000000001101110101 375
137 2809499 1010101101111010011011 DE9B
138 3460304 1101001100110011010000 CCD0
139 8430904 100000001010010100111000 A538
140 9774785 100101010010011011000001 26C1
141 9560603 100100011110001000011011 E21B
142 3440732 1101001000000001011100 805C
143 7053263 11010111001111111001111 9FCF
144 287398 1000110001010100110 62A6
145 4043644 1111011011001101111100 B37C
146 2943820 1011001110101101001100 EB4C
147 9030962 100010011100110100110010 CD32
148 7537540 11100110000001110000100 384
149 7203657 11011011110101101001001 EB49
150 5639400 10101100000110011101000 CE8
151 9448142 100100000010101011001110 2ACE
152 9954392 100101111110010001011000 E458
153 2856859 1010111001011110011011 979B
154 1332118 101000101001110010110 5396
155 6984725 11010101001010000010101 9415
156 1925762 111010110001010000010 6282
157 2138171 1000001010000000111011 A03B
158 347447 1010100110100110111 4D37
159 8839390 100001101110000011011110 E0DE
160 3951652 1111000100110000100100 4C24
161 3755102 1110010100110001011110 4C5E
162 6867687 11010001100101011100111 CAE7
163 4383175 10000101110000111000111 E1C7
164 7125508 11011001011101000000100 BA04
165 7799732 11101110000001110110100 3B4
166 8784156 100001100000100100011100 91C
167 1372809 101001111001010001001 F289
168 1327984 101000100001101110000 4370
169 9205087 100011000111010101011111 755F
170 6524241 11000111000110101010001 8D51
171 9316072 100011100010011011101000 26E8
172 127744 11111001100000000 F300
173 8388820 100000000000000011010100 D4
174 6883557 11010010000100011100101 8E5
175 2291239 1000101111011000100111 F627
176 3101270 1011110101001001010110 5256
177 1382825 101010001100110101001 19A9
178 9873376 100101101010011111100000 A7E0
179 6873500 11010001110000110011100 E19C
180 8185634 11111001110011100100010 E722
181 2464786 1001011001110000010010 9C12
182 8387154 11111111111101001010010 FA52
183 5581444 10101010010101010000100 2A84
184 8097911 11110111001000001110111 9077
185 8882527 100001111000100101011111 895F
186 8941444 100010000110111110000100 6F84
187 4942703 10010110110101101101111 6B6F
188 101144 11000101100011000 8B18
189 7471180 11100100000000001001100 4C
190 1932131 111010111101101100011 7B63
191 8052752 11110101110000000010000 E010
192 6359493 11000010000100111000101 9C5
193 1967646 111100000011000011110 61E
194 6575052 11001000101001111001100 53CC
195 2323342 1000110111001110001110 738E
196 6735760 11001101100011110010000 C790
197 8895858 100001111011110101110010 BD72
198 4238091 10000001010101100001011 AB0B
199 7093069 11011000011101101001101 3B4D
200 39 100111 27

execution time: 0.0066030025482177734s

TC3 NUMBER BIN HEX
1 -39 1111011001 FFFFFFFFD9
2 -36 1111011100 FFFFFFFFDC
3 8 1000 8
4 34 100010 22
5 17 10001 11
6 49 110001 31
7 5 101 5
8 39 100111 27
9 0 0 0
10 33 100001 21
11 12 1100 C
12 -6 1111111010 FFFFFFFFFA
13 27 11011 1B
14 -4 1111111100 FFFFFFFFFC
15 -38 1111011010 FFFFFFFFDA
16 26 11010 1A
17 49 110001 31
18 29 11101 1D
19 42 101010 2A
20 -16 1111110000 FFFFFFFFF0
21 -28 1111100100 FFFFFFFFE4
22 34 100010 22
23 20 10100 14
24 0 0 0
25 25 11001 19
26 45 101101 2D
27 3 11 3
28 -46 1111010010 FFFFFFFFD2
29 -46 1111010010 FFFFFFFFD2
30 29 11101 1D
31 33 100001 21
32 29 11101 1D
33 26 11010 1A
34 -5 1111111011 FFFFFFFFFB
35 -36 1111011100 FFFFFFFFDC
36 12 1100 C
37 45 101101 2D
38 -50 1111001110 FFFFFFFFCE
39 0 0 0
40 -6 1111111010 FFFFFFFFFA
41 -39 1111011001 FFFFFFFFD9
42 35 100011 23
43 26 11010 1A
44 -35 1111011101 FFFFFFFFDD
45 -42 1111010110 FFFFFFFFD6
46 14 1110 E
47 -3 1111111101 FFFFFFFFFD
48 22 10110 16
49 -47 1111010001 FFFFFFFFD1
50 12 1100 C
51 -17 1111101111 FFFFFFFFEF
52 -31 1111100001 FFFFFFFFE1
53 -25 1111100111 FFFFFFFFE7
54 -35 1111011101 FFFFFFFFDD
55 -18 1111101110 FFFFFFFFEE
56 14 1110 E
57 37 100101 25
58 -8 1111111000 FFFFFFFFF8
59 -41 1111010111 FFFFFFFFD7
60 -50 1111001110 FFFFFFFFCE
61 -9 1111110111 FFFFFFFFF7
62 2 10 2
63 12 1100 C
64 -39 1111011001 FFFFFFFFD9
65 -17 1111101111 FFFFFFFFEF
66 0 0 0
67 27 11011 1B
68 28 11100 1C
69 45 101101 2D
70 -44 1111010100 FFFFFFFFD4
71 28 11100 1C
72 35 100011 23
73 -33 1111011111 FFFFFFFFDF
74 43 101011 2B
75 -4 1111111100 FFFFFFFFFC
76 23 10111 17
77 -49 1111001111 FFFFFFFFCF
78 49 110001 31
79 -7 1111111001 FFFFFFFFF9
80 -38 1111011010 FFFFFFFFDA
81 -45 1111010011 FFFFFFFFD3
82 5 101 5
83 -21 1111101011 FFFFFFFFEB
84 26 11010 1A
85 -2 1111111110 FFFFFFFFFE
86 -24 1111101000 FFFFFFFFE8
87 6 110 6
88 -45 1111010011 FFFFFFFFD3
89 -4 1111111100 FFFFFFFFFC
90 15 1111 F
91 0 0 0
92 -17 1111101111 FFFFFFFFEF
93 -35 1111011101 FFFFFFFFDD
94 43 101011 2B
95 45 101101 2D
96 -35 1111011101 FFFFFFFFDD
97 -8 1111111000 FFFFFFFFF8
98 28 11100 1C
99 47 101111 2F
100 34 100010 22
101 -24 1111101000 FFFFFFFFE8
102 -42 1111010110 FFFFFFFFD6
103 -13 1111110011 FFFFFFFFF3
104 14 1110 E
105 -45 1111010011 FFFFFFFFD3
106 -35 1111011101 FFFFFFFFDD
107 27 11011 1B
108 -12 1111110100 FFFFFFFFF4
109 -19 1111101101 FFFFFFFFED
110 -20 1111101100 FFFFFFFFEC
111 -14 1111110010 FFFFFFFFF2
112 20 10100 14
113 30 11110 1E
114 12 1100 C
115 -36 1111011100 FFFFFFFFDC
116 -47 1111010001 FFFFFFFFD1
117 -27 1111100101 FFFFFFFFE5
118 -3 1111111101 FFFFFFFFFD
119 6 110 6
120 36 100100 24
121 9 1001 9
122 -16 1111110000 FFFFFFFFF0
123 36 100100 24
124 -27 1111100101 FFFFFFFFE5
125 7 111 7
126 -6 1111111010 FFFFFFFFFA
127 -5 1111111011 FFFFFFFFFB
128 5 101 5
129 47 101111 2F
130 23 10111 17
131 -48 1111010000 FFFFFFFFD0
132 -24 1111101000 FFFFFFFFE8
133 40 101000 28
134 -4 1111111100 FFFFFFFFFC
135 -18 1111101110 FFFFFFFFEE
136 -19 1111101101 FFFFFFFFED
137 14 1110 E
138 15 1111 F
139 1 1 1
140 24 11000 18
141 -9 1111110111 FFFFFFFFF7
142 -50 1111001110 FFFFFFFFCE
143 18 10010 12
144 15 1111 F
145 30 11110 1E
146 44 101100 2C
147 9 1001 9
148 19 10011 13
149 33 100001 21
150 41 101001 29
151 -24 1111101000 FFFFFFFFE8
152 43 101011 2B
153 48 110000 30
154 -23 1111101001 FFFFFFFFE9
155 7 111 7
156 28 11100 1C
157 8 1000 8
158 -2 1111111110 FFFFFFFFFE
159 37 100101 25
160 42 101010 2A
161 -17 1111101111 FFFFFFFFEF
162 -6 1111111010 FFFFFFFFFA
163 36 100100 24
164 22 10110 16
165 27 11011 1B
166 31 11111 1F
167 -47 1111010001 FFFFFFFFD1
168 -43 1111010101 FFFFFFFFD5
169 0 0 0
170 27 11011 1B
171 30 11110 1E
172 12 1100 C
173 -15 1111110001 FFFFFFFFF1
174 -19 1111101101 FFFFFFFFED
175 -42 1111010110 FFFFFFFFD6
176 -37 1111011011 FFFFFFFFDB
177 31 11111 1F
178 -10 1111110110 FFFFFFFFF6
179 18 10010 12
180 33 100001 21
181 -15 1111110001 FFFFFFFFF1
182 17 10001 11
183 25 11001 19
184 -25 1111100111 FFFFFFFFE7
185 -5 1111111011 FFFFFFFFFB
186 33 100001 21
187 -13 1111110011 FFFFFFFFF3
188 33 100001 21
189 -10 1111110110 FFFFFFFFF6
190 47 101111 2F
191 47 101111 2F
192 -13 1111110011 FFFFFFFFF3
193 -32 1111100000 FFFFFFFFE0
194 1 1 1
195 1 1 1
196 -25 1111100111 FFFFFFFFE7
197 -33 1111011111 FFFFFFFFDF
198 16 10000 10
199 17 10001 11
200 4 100 4

execution time: 0.009246349334716797s

TC4 NUMBER BIN HEX
1 -39 1111011001 FFFFFFFFD9
2 -36 1111011100 FFFFFFFFDC
3 8 1000 8
4 34 100010 22
5 17 10001 11
6 49 110001 31
7 5 101 5
8 ABC #VALUE! #VALUE!
9 0 0 0
10 33 100001 21
11 12 1100 C
12 -6 1111111010 FFFFFFFFFA
13 27 11011 1B
14 -4 1111111100 FFFFFFFFFC
15 -38 1111011010 FFFFFFFFDA
16 26 11010 1A
17 49 110001 31
18 29 11101 1D
19 42 101010 2A
20 -16 1111110000 FFFFFFFFF0
21 ERR #VALUE! #VALUE!
22 34 100010 22
23 20 10100 14
24 0 0 0
25 25 11001 19
26 45 101101 2D
27 3 11 3
28 -46 1111010010 FFFFFFFFD2
29 -46 1111010010 FFFFFFFFD2
30 29 11101 1D
31 33 100001 21
32 29 11101 1D
33 26 11010 1A
34 -5 1111111011 FFFFFFFFFB
35 -36 1111011100 FFFFFFFFDC
36 12 1100 C
37 45 101101 2D
38 -50 1111001110 FFFFFFFFCE
39 0 0 0
40 -6 1111111010 FFFFFFFFFA
41 VAL #VALUE! #VALUE!

execution time: 0.012077093124389648s
